GENE	BF
ALG2	44.400
ALG3	-10.355
ALG5	-7.619
ALG6	-10.457
ALG8	-7.047
ALG9	-6.344
ALK	-9.179
ALKAL1	-10.478
ALKAL2	-8.005
ALKBH1	-7.399
ALKBH2	-2.336
ALKBH3	-13.068
ALKBH4	-8.212
ALKBH5	1.861
ALKBH6	-8.120
ALKBH7	-5.695
ALKBH8	-6.778
ALLC	-13.654
ALMS1	-10.060
ALOX12	-9.714
ALOX12B	-1.959
ALOX15	-12.568
ALOX15B	-12.412
ALOX5	-11.373
ALOX5AP	-8.207
ALOXE3	-7.832
ALPG	-9.450
ALPI	-6.656
ALPK1	-4.485
ALPK2	-13.948
ALPK3	-6.692
ALPL	-2.298
ALPP	-14.504
ALS2	-17.552
ALS2CL	-3.602
ALX1	-11.364
ALX3	-9.777
ALX4	-6.115
ALYREF	11.032
AMACR	-12.878
AMBN	-9.071
AMBP	-7.261
AMBRA1	-13.801
AMD1	10.167
AMDHD1	-16.780
AMDHD2	-9.786
AMELX	-11.643
AMELY	-17.669
AMER1	-4.456
AMER2	-12.969
AMER3	-5.104
AMFR	-15.575
AMH	-12.567
AMHR2	-9.113
AMIGO1	-17.967
AMIGO2	-13.416
AMIGO3	-12.003
AMMECR1	-9.120
AMMECR1L	-13.394
AMN	-0.880
AMN1	-16.358
AMOT	-19.482
AMOTL1	-0.959
AMOTL2	-11.065
AMPD1	-14.216
AMPD2	-14.065
AMPD3	-16.350
AMPH	-12.245
AMT	-7.184
AMTN	-11.998
AMY1B	-7.647
AMY2A	-8.962
AMY2B	-6.988
AMZ1	-3.833
AMZ2	-0.736
ANAPC1	5.936
ANAPC10	23.953
ANAPC11	14.499
ANAPC13	-5.840
ANAPC15	-4.831
ANAPC16	-10.287
ANAPC2	4.696
ANAPC4	65.575
ANAPC5	12.908
ANAPC7	-11.627
ANG	-4.670
ANGEL1	-8.267
ANGEL2	-9.190
ANGPT1	-7.423
ANGPT2	-8.707
ANGPT4	-18.405
ANGPTL1	-13.160
ANGPTL2	-13.115
ANGPTL3	-14.076
ANGPTL4	-9.606
ANGPTL5	-16.970
ANGPTL6	0.709
ANGPTL7	-11.865
ANGPTL8	-15.095
ANHX	-9.552
ANK1	-5.717
ANK2	-7.381
ANK3	-12.808
ANKAR	-12.686
ANKDD1A	-10.227
ANKDD1B	-7.111
ANKEF1	-12.131
ANKFN1	-7.425
ANKFY1	-11.230
ANKH	-7.824
ANKHD1	-5.905
ANKIB1	-18.241
ANKK1	-10.031
ANKLE1	-7.542
ANKLE2	16.006
ANKMY1	-5.255
ANKMY2	-14.724
ANKRA2	-11.246
ANKRD1	-14.581
ANKRD10	-13.566
ANKRD11	-18.075
ANKRD12	-15.310
ANKRD13A	-13.510
ANKRD13B	-7.434
ANKRD13C	-16.419
ANKRD13D	-11.548
ANKRD16	-11.885
ANKRD17	-3.200
ANKRD18A	-14.263
ANKRD18B	-5.793
ANKRD2	-5.205
ANKRD20A2	10.049
ANKRD22	-13.717
ANKRD23	-13.270
ANKRD24	-7.342
ANKRD26	-11.723
ANKRD27	-9.816
ANKRD28	-12.945
ANKRD29	-7.058
ANKRD30A	-18.160
ANKRD30B	-13.522
ANKRD31	-14.668
ANKRD33	-8.180
ANKRD33B	-8.830
ANKRD34A	-9.676
ANKRD34B	-10.443
ANKRD34C	-8.967
ANKRD35	-13.195
ANKRD36	-8.806
ANKRD36B	-11.669
ANKRD36C	-5.860
ANKRD37	-19.259
ANKRD39	-5.195
ANKRD40	-8.796
ANKRD42	-13.709
ANKRD44	-7.689
ANKRD45	-14.632
ANKRD46	-13.763
ANKRD49	-9.328
ANKRD50	-18.069
ANKRD52	-7.431
ANKRD53	-6.840
ANKRD54	-7.121
ANKRD55	-6.243
ANKRD6	-9.460
ANKRD60	-8.612
ANKRD61	-13.900
ANKRD62	-11.348
ANKRD63	-13.746
ANKRD65	-10.824
ANKRD66	-16.218
ANKRD7	-12.632
ANKRD9	-9.235
ANKS1A	-4.069
ANKS1B	-13.468
ANKS3	-8.271
ANKS4B	-9.410
ANKS6	-14.925
ANKUB1	-10.634
ANKZF1	-8.940
ANLN	4.883
ANO1	-13.297
ANO10	-9.665
ANO2	-19.589
ANO3	-11.455
ANO4	-17.514
ANO5	-9.906
ANO6	-13.893
ANO7	-8.100
ANO8	-8.617
ANO9	-12.888
ANOS1	-13.074
ANP32A	-6.224
ANP32B	-9.977
ANP32D	-13.348
ANP32E	-4.581
ANPEP	-3.703
ANTKMT	-10.426
ANTXR1	-12.850
ANTXR2	-9.536
ANTXRL	-17.876
ANXA1	-16.909
ANXA10	-10.350
ANXA11	-8.695
ANXA13	-8.087
ANXA2	-11.961
ANXA2R	-6.978
ANXA3	-8.004
ANXA4	-9.859
ANXA5	-15.602
ANXA6	-15.366
ANXA7	-8.765
ANXA8	-17.925
ANXA8L1	-10.264
ANXA9	-5.909
AOAH	-14.570
AOC1	-16.801
AOC2	-5.578
AOC3	-4.182
AOPEP	-11.393
AOX1	-12.505
AP1AR	-13.048
AP1B1	-10.571
AP1G1	-5.427
AP1G2	-4.247
AP1M1	0.284
AP1M2	-4.700
AP1S1	-13.265
AP1S2	-10.624
AP1S3	-10.407
AP2A1	-6.649
AP2A2	-8.715
AP2B1	-1.354
AP2M1	-5.216
AP2S1	-3.969
AP3B1	-6.806
AP3B2	-4.778
AP3D1	-11.423
AP3M1	-12.859
AP3M2	-9.096
AP3S1	-8.529
AP3S2	-7.437
AP4B1	-20.175
AP4E1	-4.488
AP4M1	-13.444
AP4S1	-5.738
AP5B1	1.353
AP5M1	-11.999
AP5S1	-13.493
AP5Z1	-13.535
APAF1	-14.607
APBA1	-11.776
APBA2	-6.708
APBA3	-6.848
APBB1	-11.489
APBB1IP	-14.882
APBB2	-13.183
APBB3	-17.557
APC	-9.949
APC2	-9.002
APCDD1	-8.892
APCDD1L	-9.737
APCS	-16.132
APEH	-6.852
APELA	-15.683
APEX1	-9.797
APEX2	-2.062
APH1A	-10.533
APH1B	-7.522
API5	1.600
APIP	-11.578
APLF	-9.209
APLN	-14.151
APLNR	-11.740
APLP1	-4.093
APLP2	-12.705
APMAP	-9.867
APOA1	-4.689
APOA2	-13.338
APOA4	-13.874
APOA5	-4.001
APOB	-15.378
APOBEC1	-9.199
APOBEC2	-11.212
APOBEC3A	-5.560
APOBEC3B	-8.684
APOBEC3C	-8.637
APOBEC3D	-16.940
APOBEC3F	-9.307
APOBEC3G	-13.671
APOBEC3H	-7.111
APOBEC4	-7.811
APOBR	-10.423
APOC1	-5.255
APOC2	-10.948
APOC3	-10.538
APOC4	-17.983
APOD	2.352
APOE	-10.760
APOF	-5.464
APOH	-12.299
APOL1	-13.244
APOL2	-8.741
APOL3	-8.927
APOL4	-16.052
APOL5	-10.074
APOL6	-11.045
APOLD1	-7.503
APOM	-13.388
APOO	-8.195
APOOL	-8.324
APP	-11.012
APPBP2	-12.175
APPL1	-10.539
APPL2	-10.574
APRT	-9.607
APTX	-20.942
AQP1	-10.967
AQP10	-5.563
AQP11	-8.995
AQP12A	-10.754
AQP12B	-16.359
AQP2	-11.822
AQP3	-9.198
AQP4	-12.935
AQP5	-9.231
AQP6	-4.348
AQP7	-11.696
AQP8	-9.423
AQP9	-7.718
AQR	26.103
AR	-9.372
ARAF	-6.505
ARAP1	-12.486
ARAP2	-14.398
ARAP3	-7.863
ARC	-6.912
ARCN1	10.573
AREG	-11.099
AREL1	-9.027
ARF1	29.540
ARF3	-7.541
ARF4	-4.981
ARF5	-15.683
ARF6	1.744
ARFGAP1	-7.213
ARFGAP2	-7.184
ARFGAP3	-6.871
ARFGEF1	-10.457
ARFGEF2	-1.415
ARFGEF3	-8.715
ARFIP1	-11.668
ARFIP2	-12.377
ARFRP1	-2.446
ARG1	-16.734
ARG2	-12.876
ARGFX	-5.160
ARGLU1	7.146
ARHGAP1	-12.583
ARHGAP10	-15.295
ARHGAP11A	-6.939
ARHGAP11B	-3.565
ARHGAP12	-8.222
ARHGAP15	-14.485
ARHGAP17	-22.896
ARHGAP18	-19.025
ARHGAP19	0.374
ARHGAP20	-9.312
ARHGAP21	-17.030
ARHGAP22	-12.156
ARHGAP23	-8.126
ARHGAP24	-5.956
ARHGAP25	-17.042
ARHGAP26	-15.367
ARHGAP27	-4.133
ARHGAP28	-6.397
ARHGAP29	-9.535
ARHGAP30	-11.403
ARHGAP31	-14.019
ARHGAP32	-6.189
ARHGAP33	-10.539
ARHGAP35	-2.217
ARHGAP36	-10.991
ARHGAP39	-11.320
ARHGAP4	-11.037
ARHGAP40	-4.358
ARHGAP42	-4.694
ARHGAP44	-7.290
ARHGAP45	-13.668
ARHGAP5	-8.239
ARHGAP6	-13.720
ARHGAP8	-16.743
ARHGAP9	0.371
ARHGDIA	-17.833
ARHGDIB	-11.409
ARHGDIG	-10.450
ARHGEF1	-10.897
ARHGEF10	-18.748
ARHGEF10L	-3.240
ARHGEF11	-18.992
ARHGEF12	-12.186
ARHGEF15	-14.673
ARHGEF16	-6.736
ARHGEF17	-10.056
ARHGEF18	-12.788
ARHGEF19	-15.867
ARHGEF2	-3.216
ARHGEF25	-12.123
ARHGEF26	-9.523
ARHGEF28	-9.899
ARHGEF3	-17.480
ARHGEF33	-11.755
ARHGEF35	-5.303
ARHGEF37	-4.066
ARHGEF38	-11.209
ARHGEF39	-13.571
ARHGEF4	-14.129
ARHGEF40	-12.946
ARHGEF5	-4.986
ARHGEF6	-7.644
ARHGEF7	-8.919
ARHGEF9	-13.589
ARID1A	-3.602
ARID1B	-8.318
ARID2	5.243
ARID3A	-13.249
ARID3B	-10.292
ARID3C	-12.600
ARID4A	-14.042
ARID4B	-7.360
ARID5A	-10.906
ARID5B	-12.762
ARIH1	12.114
ARIH2	-13.759
ARIH2OS	-5.800
ARL1	-10.323
ARL10	-7.215
ARL11	-7.933
ARL13A	-7.375
ARL13B	-12.862
ARL14	-18.004
ARL14EP	-8.761
ARL14EPL	-10.522
ARL15	-11.418
ARL16	-7.311
ARL17A	-7.751
ARL17B	-9.611
ARL2	-0.572
ARL2BP	-14.851
ARL3	-2.890
ARL4A	-7.445
ARL4C	-11.605
ARL4D	-5.771
ARL5A	-16.899
ARL5B	-3.790
ARL5C	-6.316
ARL6	-12.324
ARL6IP1	-16.765
ARL6IP4	-12.823
ARL6IP5	-14.258
ARL6IP6	-5.160
ARL8A	-3.364
ARL8B	-9.189
ARL9	-12.179
ARMC1	-11.863
ARMC10	-7.374
ARMC12	-13.662
ARMC2	-10.680
ARMC3	-11.447
ARMC4	-15.905
ARMC5	-8.587
ARMC6	-1.944
ARMC7	14.220
ARMC8	-7.766
ARMC9	-9.245
ARMCX1	-7.685
ARMCX2	-12.426
ARMCX3	-16.308
ARMCX4	-6.032
ARMCX5	-8.974
ARMCX6	-7.653
ARMH1	-15.102
ARMH2	-11.640
ARMH3	-4.086
ARMH4	-7.079
ARMS2	-13.069
ARMT1	-20.783
ARNT	33.800
ARNT2	0.429
ARNTL	-12.688
ARNTL2	-10.130
ARPC1A	-1.220
ARPC1B	-2.396
ARPC2	-2.180
ARPC3	-8.847
ARPC4	7.658
ARPC5	-9.924
ARPC5L	-12.085
ARPIN	-8.806
ARPP19	1.769
ARPP21	-21.347
ARR3	-10.076
ARRB1	-15.440
ARRB2	-9.863
ARRDC1	0.881
ARRDC2	-6.701
ARRDC3	5.407
ARRDC4	-13.682
ARRDC5	-7.188
ARSA	4.525
ARSB	-11.820
ARSD	-9.266
ARSF	-12.530
ARSG	-7.680
ARSH	-11.909
ARSI	-5.746
ARSJ	-13.244
ARSK	-14.127
ARSL	-9.662
ART1	-4.756
ART3	-13.015
ART4	-16.324
ART5	-7.315
ARTN	-11.400
ARV1	-14.237
ARVCF	-4.312
ARX	-9.729
AS3MT	-8.112
ASAH1	-17.145
ASAH2	-9.878
ASAH2B	-13.667
ASAP1	-10.463
ASAP2	-9.198
ASAP3	-12.918
ASB1	-11.989
ASB10	-12.154
ASB11	-10.183
ASB12	-9.737
ASB13	-5.780
ASB14	-13.023
ASB15	-12.147
ASB16	-10.230
ASB17	-12.412
ASB18	-16.668
ASB2	-10.808
ASB3	-12.540
ASB4	-8.952
ASB5	-15.570
ASB6	-4.516
ASB7	-13.233
ASB8	-8.184
ASB9	-13.773
ASCC1	-14.797
ASCC2	-7.462
ASCC3	-2.181
ASCL1	40.576
ASCL2	-16.035
ASCL3	-11.841
ASCL4	-14.743
ASCL5	-15.548
ASF1A	-3.319
ASF1B	-13.165
ASGR1	-4.154
ASGR2	-12.661
ASH1L	-12.444
ASH2L	7.877
ASIC1	-12.047
ASIC2	-9.991
ASIC3	-10.436
ASIC4	-13.984
ASIC5	-16.089
ASIP	-7.234
ASL	-4.153
ASMT	-9.613
ASMTL	-14.370
ASNS	-8.985
ASNSD1	-13.217
ASPA	-10.672
ASPDH	-12.800
ASPG	-1.416
ASPH	-18.529
ASPHD1	-10.663
ASPHD2	-10.753
ASPM	5.134
ASPN	-14.963
ASPRV1	-15.098
ASPSCR1	-7.761
ASRGL1	-12.608
ASS1	-9.227
ASTE1	-4.208
ASTL	-10.250
ASTN1	-14.201
ASTN2	-14.800
ASXL1	-12.610
ASXL2	-13.808
ASXL3	-12.464
ASZ1	-4.472
ATAD1	-16.136
ATAD2	-11.007
ATAD2B	-16.164
ATAD3A	-4.241
ATAD3B	-11.679
ATAD3C	-10.002
ATAD5	6.976
ATAT1	-4.257
ATCAY	-6.923
ATE1	-17.272
ATF1	-10.478
ATF2	-6.518
ATF3	-11.291
ATF4	-5.585
ATF5	-13.925
ATF6	-9.796
ATF6B	-11.798
ATF7	-12.011
ATF7IP	-10.296
ATF7IP2	-12.089
ATG10	-14.292
ATG101	-12.158
ATG12	-5.006
ATG13	-14.155
ATG14	-4.102
ATG16L1	-13.206
ATG16L2	-6.033
ATG2A	-3.522
ATG2B	-15.463
ATG3	-7.658
ATG4A	-14.957
ATG4B	-13.720
ATG4C	-16.509
ATG4D	-16.679
ATG5	-14.723
ATG7	-16.343
ATG9A	-4.337
ATG9B	-13.748
ATIC	26.627
ATL1	-13.277
ATL2	-1.741
ATL3	-7.666
ATM	-16.383
ATMIN	3.693
ATN1	-8.214
ATOH1	-6.349
ATOH7	-5.815
ATOH8	-9.984
ATOX1	-17.713
ATP10A	-11.285
ATP10B	-10.294
ATP10D	-7.220
ATP11A	-3.021
ATP11B	-12.813
ATP11C	-11.863
ATP12A	-5.964
ATP13A1	-8.508
ATP13A2	-13.287
ATP13A3	-3.913
ATP13A4	-13.648
ATP13A5	-17.531
ATP1A1	3.327
ATP1A2	-7.075
ATP1A3	-13.233
ATP1A4	-6.758
ATP1B1	-8.127
ATP1B2	-9.278
ATP1B3	-6.495
ATP1B4	-8.817
ATP23	1.158
ATP2A1	-13.661
ATP2A2	23.570
ATP2A3	-7.660
ATP2B1	-12.564
ATP2B2	-9.909
ATP2B3	-10.598
ATP2B4	-6.907
ATP2C1	-13.422
ATP2C2	-10.265
ATP4A	-10.806
ATP4B	-6.869
ATP5F1A	21.283
ATP5F1B	41.052
ATP5F1C	-4.243
ATP5F1D	9.465
ATP5F1E	27.667
ATP5IF1	-13.746
ATP5MC1	-6.011
ATP5MC2	-3.012
ATP5MC3	-4.139
ATP5MD	-10.167
ATP5ME	-6.799
ATP5MF	21.493
ATP5MG	-0.194
ATP5MGL	-6.302
ATP5MPL	-18.373
ATP5PB	-11.568
ATP5PD	4.640
