GENE	BF
ARAP1	-10.664
ARAP2	-11.659
ARAP3	-8.890
ARC	-3.858
ARCN1	8.579
AREG	-7.926
AREL1	-13.490
ARF1	13.599
ARF3	-7.574
ARF4	-2.052
ARF5	-13.257
ARF6	-4.372
ARFGAP1	-7.548
ARFGAP2	-8.430
ARFGAP3	-6.288
ARFGEF1	-11.726
ARFGEF2	-2.733
ARFGEF3	-2.348
ARFIP1	-6.768
ARFIP2	-3.464
ARFRP1	-1.047
ARG1	-8.059
ARG2	-9.242
ARGFX	-7.188
ARGLU1	6.785
ARHGAP1	-11.061
ARHGAP10	-9.177
ARHGAP11A	-7.342
ARHGAP11B	-2.928
ARHGAP12	-7.592
ARHGAP15	-8.021
ARHGAP17	-10.681
ARHGAP18	-16.032
ARHGAP19	2.260
ARHGAP20	-9.235
ARHGAP21	-11.343
ARHGAP22	-10.110
ARHGAP23	-3.893
ARHGAP24	-2.672
ARHGAP25	-9.127
ARHGAP26	-9.490
ARHGAP27	3.272
ARHGAP28	-2.734
ARHGAP29	-10.373
ARHGAP30	-7.030
ARHGAP31	-8.535
ARHGAP32	-3.954
ARHGAP33	-7.574
ARHGAP35	-8.052
ARHGAP36	-8.284
ARHGAP39	-10.674
ARHGAP4	-5.582
ARHGAP40	-5.689
ARHGAP42	-1.311
ARHGAP44	-11.662
ARHGAP45	-10.171
ARHGAP5	-5.896
ARHGAP6	-6.293
ARHGAP8	-11.792
ARHGAP9	0.324
ARHGDIA	-13.754
ARHGDIB	-10.287
ARHGDIG	-8.866
ARHGEF1	-8.117
ARHGEF10	-12.720
ARHGEF10L	-4.637
ARHGEF11	-9.507
ARHGEF12	-7.167
ARHGEF15	-12.866
ARHGEF16	-4.340
ARHGEF17	-5.738
ARHGEF18	-4.505
ARHGEF19	-11.988
ARHGEF2	1.361
ARHGEF25	-14.505
ARHGEF26	-8.199
ARHGEF28	-6.697
ARHGEF3	-14.249
ARHGEF33	-10.030
ARHGEF35	-9.026
ARHGEF37	-6.921
ARHGEF38	-5.767
ARHGEF39	-11.080
ARHGEF4	-11.064
ARHGEF40	-9.489
ARHGEF5	-6.988
ARHGEF6	-6.123
ARHGEF7	-6.545
ARHGEF9	-10.937
ARID1A	-4.193
ARID1B	-7.945
ARID2	-0.978
ARID3A	-10.468
ARID3B	-2.826
ARID3C	-4.954
ARID4A	-9.830
ARID4B	-9.507
ARID5A	-12.700
ARID5B	-6.198
ARIH1	5.396
ARIH2	-9.441
ARIH2OS	-5.440
ARL1	-7.662
ARL10	-10.509
ARL11	-10.902
ARL13A	-8.508
ARL13B	-8.398
ARL14	-9.776
ARL14EP	-6.723
ARL14EPL	-5.458
ARL15	-12.425
ARL16	-6.145
ARL17A	-7.530
ARL17B	-5.867
ARL2	-0.784
ARL2BP	-11.858
ARL3	-3.007
ARL4A	-3.378
ARL4C	-5.893
ARL4D	-2.317
ARL5A	-9.818
ARL5B	-4.064
ARL5C	-1.980
ARL6	-14.022
ARL6IP1	-8.441
ARL6IP4	-6.723
ARL6IP5	-8.986
ARL6IP6	-4.407
ARL8A	-4.008
ARL8B	-3.512
ARL9	-12.369
ARMC1	-11.412
ARMC10	-6.525
ARMC12	-5.934
ARMC2	-10.533
ARMC3	-4.679
ARMC4	-7.624
ARMC5	-5.064
ARMC6	-3.925
ARMC7	8.374
ARMC8	-4.876
ARMC9	-7.518
ARMCX1	-11.750
ARMCX2	-9.118
ARMCX3	-12.768
ARMCX4	-1.868
ARMCX5	-8.041
ARMCX6	-2.520
ARMH1	-13.088
ARMH2	-5.914
ARMH3	-2.952
ARMH4	-1.885
ARMS2	-8.425
ARMT1	-11.362
ARNT	16.335
ARNT2	-3.179
ARNTL	-9.403
ARNTL2	-8.007
ARPC1A	-2.996
ARPC1B	-1.192
ARPC2	-5.465
ARPC3	-8.774
ARPC4	2.039
ARPC5	-8.011
ARPC5L	-4.774
ARPIN	-5.890
ARPP19	1.175
ARPP21	-14.376
ARR3	-15.046
ARRB1	-8.688
ARRB2	-7.976
ARRDC1	-0.685
ARRDC2	-6.449
ARRDC3	7.945
ARRDC4	-8.069
ARRDC5	-3.055
ARSA	-3.497
ARSB	-6.610
ARSD	-12.779
ARSF	-13.306
ARSG	-11.846
ARSH	-9.010
ARSI	-5.567
ARSJ	-9.227
ARSK	-7.054
ARSL	-7.375
ART1	-5.353
ART3	-9.767
ART4	-10.868
ART5	-5.182
ARTN	-10.030
ARV1	-10.639
ARVCF	-4.477
ARX	-5.965
AS3MT	-7.333
ASAH1	-6.835
ASAH2	-7.609
ASAH2B	-9.407
ASAP1	-10.709
ASAP2	-6.173
ASAP3	-8.600
ASB1	-9.606
ASB10	-7.484
ASB11	-6.971
ASB12	-8.594
ASB13	-7.458
ASB14	-11.302
ASB15	-11.446
ASB16	-4.354
ASB17	-8.851
ASB18	-8.844
ASB2	-3.411
ASB3	-10.408
ASB4	-3.773
ASB5	-6.115
ASB6	-4.179
ASB7	-9.112
ASB8	-9.017
ASB9	-9.322
ASCC1	-9.161
ASCC2	-7.098
ASCC3	-7.497
ASCL1	31.792
ASCL2	-8.396
ASCL3	-9.298
ASCL4	-6.377
ASCL5	-10.182
ASF1A	-4.870
ASF1B	-7.804
ASGR1	-5.146
ASGR2	-9.276
ASH1L	-11.931
ASH2L	1.998
ASIC1	-10.880
ASIC2	-2.449
ASIC3	-4.756
ASIC4	-10.207
ASIC5	-11.602
ASIP	-9.155
ASL	-4.155
ASMT	-10.289
ASMTL	-10.569
ASNS	-3.646
ASNSD1	-11.017
ASPA	-4.910
ASPDH	-10.619
ASPG	-0.907
ASPH	-7.910
ASPHD1	-6.498
ASPHD2	-7.339
ASPM	6.347
ASPN	-13.394
ASPRV1	-11.196
ASPSCR1	-6.834
ASRGL1	-11.044
ASS1	-7.789
ASTE1	-1.594
ASTL	-7.162
ASTN1	-9.643
ASTN2	-5.945
ASXL1	-8.514
ASXL2	-12.421
ASXL3	-8.710
ASZ1	-6.526
ATAD1	-13.548
ATAD2	-5.523
ATAD2B	-9.441
ATAD3A	-6.620
ATAD3B	-7.920
ATAD3C	-9.401
ATAD5	4.145
ATAT1	-6.997
ATCAY	-3.468
ATE1	-12.819
ATF1	-9.472
ATF2	-2.428
ATF3	-9.749
ATF4	-6.413
ATF5	-10.381
ATF6	-5.676
ATF6B	-8.740
ATF7	-6.883
ATF7IP	-4.692
ATF7IP2	-6.192
ATG10	-5.551
ATG101	-5.384
ATG12	-7.158
ATG13	-13.270
ATG14	-0.589
ATG16L1	-8.298
ATG16L2	-2.834
ATG2A	-5.704
ATG2B	-12.239
ATG3	-4.885
ATG4A	-9.664
ATG4B	-9.243
ATG4C	-8.152
ATG4D	-11.322
ATG5	-11.504
ATG7	-11.593
ATG9A	1.752
ATG9B	-8.480
ATIC	8.704
ATL1	-12.011
ATL2	-5.361
ATL3	-5.923
ATM	-11.712
ATMIN	3.711
ATN1	-6.927
ATOH1	-8.212
ATOH7	-9.206
ATOH8	-8.719
ATOX1	-12.024
ATP10A	-6.940
ATP10B	-5.672
ATP10D	-8.534
ATP11A	-3.701
ATP11B	-8.426
ATP11C	-6.494
ATP12A	-0.593
ATP13A1	-7.542
ATP13A2	-5.094
ATP13A3	-7.469
ATP13A4	-7.167
ATP13A5	-12.169
ATP1A1	-0.038
ATP1A2	-2.896
ATP1A3	-9.770
ATP1A4	-6.320
ATP1B1	-3.483
ATP1B2	-9.195
ATP1B3	-9.614
ATP1B4	-10.011
ATP23	0.450
ATP2A1	-5.764
ATP2A2	6.924
ATP2A3	-3.452
ATP2B1	-5.498
ATP2B2	-7.410
ATP2B3	-6.565
ATP2B4	-3.442
ATP2C1	-12.390
ATP2C2	-3.755
ATP4A	-12.835
ATP4B	-3.240
ATP5F1A	7.013
ATP5F1B	17.174
ATP5F1C	-2.917
ATP5F1D	4.121
ATP5F1E	15.346
ATP5IF1	-11.172
ATP5MC1	-1.294
ATP5MC2	-8.264
ATP5MC3	-5.378
ATP5MD	-8.212
ATP5ME	-1.538
ATP5MF	12.376
ATP5MG	-6.464
ATP5MGL	-5.071
ATP5MPL	-10.415
ATP5PB	-6.952
