GENE	BF
AGTRAP	-6.033
AGXT	-6.922
AGXT2	-10.930
AHCTF1	3.717
AHCY	5.401
AHCYL1	-4.000
AHCYL2	0.410
AHDC1	-6.866
AHI1	-8.729
AHNAK	-4.115
AHNAK2	-4.448
AHR	-8.767
AHRR	-7.474
AHSA1	-5.817
AHSG	-5.135
AHSP	-9.899
AICDA	-3.208
AIDA	-8.037
AIF1	-8.606
AIF1L	-2.289
AIFM1	4.062
AIFM2	-8.100
AIFM3	-7.562
AIG1	-6.494
AIM2	-5.582
AIMP1	-11.066
AIMP2	-9.278
AIP	-9.814
AIPL1	-6.991
AIRE	-7.694
AJAP1	-5.818
AJM1	-5.527
AJUBA	-5.974
AK1	-6.861
AK2	-8.590
AK3	-8.406
AK4	-4.380
AK5	-8.864
AK6	28.060
AK7	-7.814
AK8	-7.442
AK9	-2.183
AKAIN1	-7.658
AKAP1	-4.224
AKAP10	-3.555
AKAP11	-5.435
AKAP12	-4.254
AKAP13	-5.890
AKAP14	-3.444
AKAP17A	-7.117
AKAP2	-5.062
AKAP3	-3.884
AKAP4	-11.685
AKAP5	-7.994
AKAP6	-7.552
AKAP7	-4.511
AKAP8	-5.965
AKAP8L	-11.458
AKAP9	-2.475
AKIP1	-0.503
AKIRIN1	-5.844
AKIRIN2	0.971
AKNA	-4.885
AKNAD1	-6.863
AKR1A1	-10.150
AKR1B1	-5.000
AKR1B10	-8.101
AKR1B15	-9.322
AKR1C1	-12.299
AKR1C2	-8.333
AKR1C3	-5.554
AKR1C4	-3.283
AKR1D1	-5.876
AKR1E2	-7.676
AKR7A2	-5.722
AKR7A3	-6.220
AKT1	0.605
AKT1S1	-6.694
AKT2	-1.681
AKT3	-8.215
AKTIP	-9.030
ALAD	-5.183
ALAS1	0.294
ALAS2	-4.990
ALB	-3.005
ALCAM	-9.927
ALDH16A1	-8.236
ALDH18A1	-6.607
ALDH1A1	-10.320
ALDH1A2	-10.250
ALDH1A3	-4.276
ALDH1B1	-5.770
ALDH1L1	-8.198
ALDH1L2	-6.411
ALDH2	-9.471
ALDH3A1	-6.797
ALDH3A2	-4.386
ALDH3B1	-4.413
ALDH3B2	-5.769
ALDH4A1	-5.564
ALDH5A1	-6.370
ALDH6A1	-2.893
ALDH7A1	-3.536
ALDH8A1	-12.396
ALDH9A1	-5.499
ALDOA	-0.144
ALDOB	-7.832
ALDOC	-7.570
ALG1	2.717
ALG10	-11.941
ALG10B	-9.266
ALG11	-1.980
ALG12	-2.062
ALG13	7.642
ALG14	17.819
ALG1L	-2.537
ALG1L2	-4.117
ALG2	27.337
ALG3	-9.742
ALG5	-0.326
ALG6	-7.320
ALG8	-6.166
ALG9	-4.994
ALK	-8.221
ALKAL1	-7.587
ALKAL2	-10.115
ALKBH1	-2.011
ALKBH2	-6.151
ALKBH3	-7.560
ALKBH4	-5.270
ALKBH5	-3.996
ALKBH6	-7.041
ALKBH7	-1.519
ALKBH8	-7.394
ALLC	-4.961
ALMS1	-6.055
ALOX12	-6.906
ALOX12B	-3.178
ALOX15	-5.176
ALOX15B	-8.936
ALOX5	-6.425
ALOX5AP	-10.887
ALOXE3	-6.096
ALPG	-4.819
ALPI	-8.295
ALPK1	-10.571
ALPK2	-8.112
ALPK3	-3.622
ALPL	-5.731
ALPP	-7.398
ALS2	-10.629
ALS2CL	-7.521
ALX1	-8.640
ALX3	-5.132
ALX4	-4.822
ALYREF	10.654
AMACR	-6.076
AMBN	-7.058
AMBP	-6.797
AMBRA1	-11.301
AMD1	8.140
AMDHD1	-9.659
AMDHD2	-3.668
AMELX	-5.762
AMELY	-5.088
AMER1	-9.882
AMER2	-7.852
AMER3	-6.985
AMFR	-8.788
AMH	-4.299
AMHR2	-8.839
AMIGO1	-4.502
AMIGO2	-6.952
AMIGO3	-7.977
AMMECR1	-6.123
AMMECR1L	-8.753
AMN	-3.810
AMN1	-9.249
AMOT	-10.740
AMOTL1	-1.701
AMOTL2	-11.372
AMPD1	-6.230
AMPD2	-9.584
AMPD3	-6.175
AMPH	-4.410
AMT	-2.997
AMTN	-6.327
AMY1B	0.243
AMY2A	-6.460
AMY2B	-7.644
AMZ1	-4.611
AMZ2	-3.277
ANAPC1	3.165
ANAPC10	13.724
ANAPC11	5.228
ANAPC13	-8.894
ANAPC15	-7.475
ANAPC16	-0.748
ANAPC2	4.963
ANAPC4	40.602
ANAPC5	6.444
ANAPC7	-6.982
ANG	-1.290
ANGEL1	-6.387
ANGEL2	-2.081
ANGPT1	-7.077
ANGPT2	-10.729
ANGPT4	-9.080
ANGPTL1	-5.201
ANGPTL2	-8.799
ANGPTL3	-10.725
ANGPTL4	-4.694
ANGPTL5	-10.119
ANGPTL6	-5.907
ANGPTL7	-2.123
ANGPTL8	-7.432
ANHX	-7.891
ANK1	-11.798
ANK2	-3.700
ANK3	-7.970
ANKAR	-10.786
ANKDD1A	-4.437
ANKDD1B	-7.816
