GENE	BF
AKAP3	-16.624
AKAP4	-25.706
AKAP5	-16.534
AKAP6	-10.301
AKAP7	-15.745
AKAP8	-14.821
AKAP8L	-25.484
AKAP9	-9.979
AKIP1	-8.207
AKIRIN1	-14.718
AKIRIN2	6.013
AKNA	-15.904
AKNAD1	-20.799
AKR1A1	-18.461
AKR1B1	-11.531
AKR1B10	-15.217
AKR1B15	-24.732
AKR1C1	-23.289
AKR1C2	-25.695
AKR1C3	-12.898
AKR1C4	-14.703
AKR1D1	-8.384
AKR1E2	-17.952
AKR7A2	-24.525
AKR7A3	-18.664
AKT1	-1.151
AKT1S1	-20.766
AKT2	-7.189
AKT3	-15.761
AKTIP	-21.623
ALAD	13.476
ALAS1	-0.093
ALAS2	-16.682
ALB	-15.192
ALCAM	-23.615
ALDH16A1	-14.690
ALDH18A1	-15.118
ALDH1A1	-19.437
ALDH1A2	-23.484
ALDH1A3	-18.487
ALDH1B1	-14.133
ALDH1L1	-8.985
ALDH1L2	-15.469
ALDH2	-20.010
ALDH3A1	-18.484
ALDH3A2	-18.877
ALDH3B1	-9.830
ALDH3B2	-11.615
ALDH4A1	-17.061
ALDH5A1	-16.754
ALDH6A1	-11.996
ALDH7A1	-12.956
ALDH8A1	-25.667
ALDH9A1	-17.534
ALDOA	-0.427
ALDOB	-26.130
ALDOC	-13.099
ALG1	26.083
ALG10	-23.648
ALG10B	-17.654
ALG11	9.439
ALG12	-16.478
ALG13	11.839
ALG14	56.597
ALG1L	-3.933
ALG1L2	-10.641
ALG2	64.316
ALG3	-26.796
ALG5	-7.627
ALG6	-19.571
ALG8	-15.432
ALG9	-14.484
ALK	-11.879
ALKAL1	-22.361
ALKAL2	-16.760
ALKBH1	-13.826
ALKBH2	-11.165
ALKBH3	-20.800
ALKBH4	-19.202
ALKBH5	-2.961
ALKBH6	-20.395
ALKBH7	-2.895
ALKBH8	-17.215
ALLC	-9.437
ALMS1	-16.330
ALOX12	-14.490
ALOX12B	1.363
ALOX15	-15.241
ALOX15B	-20.903
ALOX5	-20.121
ALOX5AP	-19.203
ALOXE3	-7.763
ALPG	-9.693
ALPI	-15.852
ALPK1	-23.127
ALPK2	-25.410
ALPK3	-5.338
ALPL	-5.136
ALPP	-20.879
ALS2	-28.375
ALS2CL	-14.636
ALX1	-21.073
ALX3	-12.150
ALX4	-10.490
ALYREF	26.750
AMACR	-13.799
AMBN	-19.911
AMBP	-21.517
AMBRA1	-26.464
AMD1	20.048
AMDHD1	-23.448
AMDHD2	-12.269
AMELX	-16.095
AMELY	-24.569
AMER1	-16.709
AMER2	-21.948
AMER3	-17.904
AMFR	-23.784
AMH	-13.224
AMHR2	-15.857
AMIGO1	-17.508
AMIGO2	-23.338
AMIGO3	-19.825
AMMECR1	-16.232
AMMECR1L	-25.743
AMN	-7.826
AMN1	-26.197
AMOT	-32.812
AMOTL1	-11.303
AMOTL2	-24.244
AMPD1	-16.432
AMPD2	-21.882
AMPD3	-22.449
AMPH	-7.726
AMT	-8.666
AMTN	-17.271
AMY1B	0.391
AMY2A	-12.660
AMY2B	-18.827
AMZ1	-10.962
AMZ2	-7.292
ANAPC1	1.930
ANAPC10	32.678
ANAPC11	11.535
ANAPC13	-18.459
ANAPC15	-12.774
ANAPC16	-8.100
ANAPC2	9.986
ANAPC4	79.051
ANAPC5	23.906
ANAPC7	-17.916
ANG	-10.422
ANGEL1	-18.766
ANGEL2	-7.862
ANGPT1	-13.192
ANGPT2	-20.340
ANGPT4	-28.493
ANGPTL1	-15.999
ANGPTL2	-15.368
ANGPTL3	-26.651
ANGPTL4	-14.132
ANGPTL5	-27.860
ANGPTL6	-6.029
ANGPTL7	-11.535
ANGPTL8	-23.569
ANHX	-17.996
ANK1	-25.050
ANK2	-11.111
ANK3	-24.497
ANKAR	-23.757
ANKDD1A	-14.755
ANKDD1B	-12.379
ANKEF1	-16.787
ANKFN1	-20.253
ANKFY1	-21.576
ANKH	-13.279
ANKHD1	-12.689
ANKIB1	-21.910
ANKK1	-7.924
ANKLE1	-11.790
ANKLE2	8.790
ANKMY1	-18.819
ANKMY2	-14.257
ANKRA2	-22.635
ANKRD1	-20.824
ANKRD10	-20.739
ANKRD11	-23.903
ANKRD12	-25.271
ANKRD13A	-22.562
ANKRD13B	-7.031
ANKRD13C	-26.592
ANKRD13D	-28.908
ANKRD16	-10.828
ANKRD17	5.475
ANKRD18A	-20.138
ANKRD18B	-10.921
ANKRD2	-14.224
ANKRD20A2	-0.843
ANKRD22	-28.286
ANKRD23	-23.974
ANKRD24	-11.496
ANKRD26	-15.310
ANKRD27	-26.998
ANKRD28	-25.567
ANKRD29	-20.801
ANKRD30A	-23.286
ANKRD30B	-22.257
ANKRD31	-17.572
ANKRD33	-16.963
ANKRD33B	-19.808
ANKRD34A	-15.054
ANKRD34B	-18.441
ANKRD34C	-24.972
ANKRD35	-23.455
ANKRD36	-18.013
ANKRD36B	-10.975
ANKRD36C	-15.151
ANKRD37	-24.358
ANKRD39	-6.559
ANKRD40	-10.757
ANKRD42	-11.195
ANKRD44	-22.346
ANKRD45	-12.534
ANKRD46	-22.289
ANKRD49	-15.512
ANKRD50	-16.642
ANKRD52	-9.682
ANKRD53	-22.453
ANKRD54	-14.575
ANKRD55	-12.292
ANKRD6	-21.201
ANKRD60	-19.269
ANKRD61	-34.839
ANKRD62	-17.481
ANKRD63	-22.605
ANKRD65	-27.620
ANKRD66	-23.802
