BARX1,-0.002355195
TMTC1,-0.001099508
TTC21B,-0.00043205
LILRA4,-0.003085274
ZKSCAN3,-0.002907632
ENO3,-0.000713965
CFB,-0.001188242
GRID1,-0.003534792
GGT7,-0.000461327
ATP5PF,-0.00096627
ABI3,-0.00113315
SEMA4C,-0.000693194
ADAM20,-0.004050028
HNRNPR,-0.000365813
METTL8,-0.000990577
ZMAT5,-0.002942856
POU3F1,-0.003347209
STX12,-0.00082703
GAS7,-0.000415717
RSPO3,-0.00068385
CCDC84,-0.002168288
TRIM21,-0.001377279
TIGD6,-0.000765505
RTL3,-0.001173626
PGA3,-0.00022163
SAMD1,-0.001662878
NMNAT2,-0.000709873
AMH,-0.001667554
ZNF850,-0.003344441
ZNF700,-0.000627452
DEFB108B,-0.001779539
CUEDC1,-0.002035645
PLBD1,-0.00165386
HOXB9,-0.001466785
CUL2,-0.000703531
LYPLAL1,-0.001000056
SUCLG1,-0.001004603
KRTAP3-1,-0.00102409
CCSAP,-0.00158723
CRLF1,-0.001913758
TGFBR3L,-0.000563194
RNF151,-0.001283635
RAB30,-0.001519253
SPSB1,-0.000557972
ACOT1,-0.001051924
MAIP1,-0.008434207
PRTFDC1,-0.001411695
PANK2,-0.002152832
CA14,-0.000505449
SAA2,-0.000710424
CDC23,-0.002246908
CYP4F8,-0.001424301
ANKRD34C,-0.000809814
BAZ2B,-0.000360277
TTBK2,-0.001241098
GPIHBP1,-0.001392898
LRIT1,-0.001303935
TCP10,-0.000723056
ZNF12,-0.002370546
TMEM102,-0.001122925
RPL3,-0.001703412
PLA2G7,-0.001554108
CCDC149,-0.001679853
TEX43,-0.001273993
GABRP,-0.000572145
LEPROT,-0.000655873
IKBIP,-0.000617064
ZNF225,-0.003144833
CC2D2B,-0.000898098
KANK4,-0.001042183
RHBG,-0.000772662
TSPAN8,-0.001168289
MXRA7,-0.000782853
PHF11,-0.001506781
PRRG4,-0.002143828
CIAPIN1,-0.00057343
TNK2,-0.002763852
SLC35G3,-0.002686064
NPDC1,-0.000877275
ARF5,-0.003532712
PRPF8,-0.003750561
DKKL1,-0.000736777
ATAT1,-0.001028658
CFC1B,-0.001843496
PPP4C,-0.004593219
MSRA,-0.000795899
BAALC,-0.001350568
FASTKD1,-0.000655493
CNN2,-0.001816278
CWC22,-0.000969253
TLCD3A,-0.000830344
ARFGAP1,-0.001070727
NT5M,-0.000702505
AMACR,-0.001869459
AHR,-0.000784628
EIF4A3,-0.003188625
TNFRSF10D,-0.000901727
KLRG1,-0.001866407
GDAP2,-0.000593759
OR10Q1,-0.000591709
KLHL15,-0.000868392
SERPINB5,-0.001705741
LAPTM4A,-0.000842475
PRPF18,-0.00134219
RNF113A,-0.000351294
OLIG3,-0.001189801
PRTG,-0.001649746
TESK1,-0.001231562
CABLES1,-0.005285616
C8orf89,-0.004671813
ZSWIM4,-0.002603383
METTL27,-0.000959581
DNAAF2,-0.002390302
MEGF9,-0.000965626
B3GNT3,-0.001345017
CCL5,-0.000516945
TENT5B,-0.001353185
PMM2,-0.001417191
ZNF771,-0.000649945
FAM171B,-0.000317674
ZNF256,-0.006882288
PRRC2B,-0.000256887
PRM3,-0.001314705
OR5V1,-0.000952421
MAGEB10,-0.001102741
KLHDC3,-0.001399176
SNX8,-0.001522531
TNFSF8,-0.000678535
RNF2,-0.001581952
GALNT17,-0.004017261
CLTB,-0.002007551
TRPC5OS,-0.001212861
ZNF397,-0.001140336
BFAR,-0.00315426
MCPH1,-0.000979907
HLA-DQB2,-0.002038375
FASTK,-0.000668116
OXCT2,-0.000892824
CHIA,-0.002141742
CCDC105,-0.000952329
P2RX6,-0.000761839
TIGD3,-0.001440512
HAPLN3,-0.00092733
RAB28,-0.002670965
TASOR,-0.002218723
ZFAND3,-0.001119325
HOXD4,-0.004639498
OR1N1,-0.003259598
SLC26A9,-0.002680314
MAGOH,-0.000760826
HNRNPA0,-0.004259543
RBMXL2,-0.001291484
PROP1,-0.00211204
TLX3,-0.001307457
RBM23,-0.000547682
TMEM216,-0.000850704
AP5M1,-0.001709835
TMEM130,-0.000765653
IQCF1,-0.001011984
GAL3ST4,-0.00120527
RXFP3,-0.000640697
ZNF497,-0.00221227
CARD18,-0.003550639
NKX1-2,-0.000771398
ZNF3,-0.000465829
NOL4L,-0.001983869
RNF187,-0.001272918
NID2,-0.000351635
PKM,-0.001737161
CORT,-0.001613969
CYLC2,-0.004774297
GNL2,-0.002216614
CDKN2AIPNL,-0.000448186
TRMT5,-0.002003873
ADCK2,-0.000565301
FGFRL1,-0.003001064
WDR48,-0.000982393
CATSPERZ,-0.001329451
DHRS7B,-0.002556027
RASA1,-0.000805883
OR52N1,-0.001201219
PON2,-0.000639613
PRKACG,-0.000427452
STX8,-0.001978672
POU4F3,-0.000491971
SPICE1,-0.000558568
ADCY1,-0.003593857
ACTG1,-0.001429219
ELK4,-0.000830585
LCP1,-0.003004475
LAGE3,-0.00067022
STN1,-0.000648541
NUP58,-0.000747698
MSTO1,-0.001076337
NINJ1,-0.00088749
CLDN23,-0.003101099
TEX264,-0.003945254
ATP6AP2,-0.000838085
VAMP2,-0.001043588
IRF7,-0.00079335
PRDM12,-0.001740131
VCX,-0.000601084
ORC6,-0.001176212
RGL3,-0.002206097
STX18,-0.00180963
YEATS4,-0.001785493
RASD1,-0.002448874
DDT,-0.005158248
DNAJA4,-0.000836698
MEF2A,-0.000870809
GNA15,-0.002413437
DPY19L2,-0.001283074
NR2E3,-0.000406121
KMT5A,-0.001653833
TFAP2B,-0.001293458
USP19,-0.004965702
HIVEP1,-0.001664293
OSBPL9,-0.000498444
MBD6,-0.000928251
LANCL2,-0.001139396
MSH4,-0.000621078
SNRNP48,-0.000623504
MGAT4B,-0.001998261
TEX26,-0.001362982
TMEM43,-0.0002442
TUT1,-0.008154623
PCBD1,-0.000681295
C12orf54,-0.001490557
NHLRC4,-0.001300806
PRDM13,-0.000399221
ZNF75A,-0.001124472
NOX3,-0.000745183
NMNAT1,-0.005458368
PKP1,-0.001643131
ATRX,-0.000891162
UCP1,-0.002231278
F13B,-0.001412279
CHRNA3,-0.000472794
BCLAF1,-0.001248278
PWWP2B,-0.002384979
ZNF626,-0.001197162
MANBAL,-0.000836551
SNORC,-0.000723224
CDK20,-0.000295307
HPF1,-0.004440908
C3orf33,-0.000647018
DEFB133,-0.001291823
OR2C1,-0.002284249
THAP3,-0.001367952
HBQ1,-0.031868916
COL14A1,-0.000671119
AKT2,-0.002311217
VPS52,-0.000647512
ADGRE1,-0.000441086
WFDC9,-0.000283098
LAMTOR3,-0.001044679
CCDC137,-0.001910224
KRTAP5-2,-0.001374668
OR5K3,-0.00158953
HLF,-0.001030004
CCNB1IP1,-0.002952817
AP1M2,-0.001277564
SYCE3,-0.00202939
SLC9A1,-0.002927308
TMEM156,-0.013076554
RUNDC3B,-0.00161928
ATP10B,-0.000576707
FGF12,-0.001787008
IMPA2,-0.002365552
GRB7,-0.000617984
PPM1L,-0.000690363
PLP2,-0.002471196
TUBA1B,-0.00146676
UROD,-0.001291991
SRPK3,-0.000726439
ZBTB38,-0.007788954
LNP1,-0.00055508
DUS2,-0.001284596
GOLGA6A,-0.000995979
C17orf100,-0.000500677
INTS1,-0.001330372
FOXM1,-0.000922575
PIP4P2,-0.000617325
PHTF1,-0.00189898
RBP3,-0.004426093
AMIGO1,-0.021888774
TDRD15,-0.003095585
CISD3,-0.003459972
FGF20,-0.001403645
CERS1,-0.000560683
B3GAT1,-0.001156735
RANBP6,-0.002808066
GRIN3B,-0.002920117
ZNF362,-0.002824434
NYAP2,-0.000619533
NCKAP1L,-0.007275024
MMP8,-0.000639147
GNG11,-0.001328559
LEKR1,-0.000812026
E2F3,-0.001090214
MAGED1,-0.001526535
TMEM131L,-0.001310024
ALG1L2,-0.001119207
ASPH,-0.002832506
DDX39A,-0.002359888
CEP126,-0.00060661
ALG11,-0.002187057
SFXN4,-0.000900341
CELF6,-0.003294177
SNAPC5,-0.00124815
SLC22A15,-0.001382253
BRCA1,-0.000348142
CCDC65,-0.001172979
PIK3AP1,-0.005114997
TMSB15A,-0.001322209
KCNJ3,-0.000344472
TRIM44,-0.003157949
FER1L6,-0.003759592
MDK,-0.002860527
RYK,-0.019563503
PRXL2C,-0.000460069
GJB5,-0.000916844
FLVCR1,-0.001251568
CLCN6,-0.001147929
SOCS6,-0.00222829
CALN1,-0.003691837
PPM1G,-0.000694907
KLHL5,-0.001514131
PTN,-0.000822439
MFSD1,-0.000627441
TERF1,-0.001833714
BMX,-0.001200013
HOXD11,-0.00030007
TRH,-0.000526624
LTB4R,-0.001091825
FAF2,-0.003007942
SMYD2,-0.000525109
POLR2G,-0.00441462
CD81,-0.000991563
ADIPOQ,-0.003307899
P2RX3,-0.000537802
JAG1,-0.003781149
FBXL18,-0.000985348
KLRG2,-0.001094372
DCHS1,-0.002035782
CCDC177,-0.00179747
RHOT2,-0.000443213
