GENE	BF
ADRA1A	-10.650
ADRA1B	-13.135
ADRA1D	-13.897
ADRA2A	-8.160
ADRA2B	-10.161
ADRA2C	-10.106
ADRB1	-15.472
ADRB2	-10.751
ADRB3	-9.349
ADRM1	-3.036
ADSL	44.817
ADSS1	-3.367
ADSS2	7.300
ADTRP	-15.450
AEBP1	-5.755
AEBP2	-11.463
AEN	-10.435
AFAP1	-11.103
AFAP1L1	-5.760
AFAP1L2	-7.357
AFDN	-15.996
AFF1	-5.904
AFF2	-16.715
AFF3	-16.172
AFF4	-5.236
AFG1L	-11.324
AFG3L2	22.011
AFM	-12.950
AFMID	-8.886
AFP	-14.783
AFTPH	-11.067
AGA	-17.591
AGAP1	-13.293
AGAP2	-9.452
AGAP3	-11.638
AGAP5	-1.634
AGAP6	-10.121
AGAP9	-6.470
AGBL1	-6.413
AGBL2	-8.804
AGBL3	-9.771
AGBL4	-18.631
AGBL5	-8.770
AGER	-11.381
AGFG1	-8.561
AGFG2	-2.472
AGGF1	-9.305
AGK	-4.860
AGL	-15.032
AGMAT	-11.638
AGMO	-5.948
AGO1	-15.386
AGO2	-9.236
AGO3	-15.494
AGO4	-8.596
AGPAT1	-12.904
AGPAT2	0.261
AGPAT3	-15.926
AGPAT4	-16.364
AGPAT5	-16.360
AGPS	-6.761
AGR2	-12.175
AGR3	-16.594
AGRN	-9.339
AGRP	-12.543
AGT	-2.233
AGTPBP1	-14.352
AGTR1	-12.932
AGTR2	-14.987
AGTRAP	-9.255
AGXT	-12.017
AGXT2	-15.026
AHCTF1	2.039
AHCY	26.541
AHCYL1	-2.783
AHCYL2	-8.821
AHDC1	-15.948
AHI1	-11.796
AHNAK	-14.532
AHNAK2	-7.624
AHR	32.674
AHRR	-13.760
AHSA1	-7.433
AHSG	-9.004
AHSP	-11.477
AICDA	-11.180
AIDA	-6.365
AIF1	-6.579
AIF1L	-8.642
AIFM1	31.060
AIFM2	-9.929
AIFM3	-5.789
AIG1	-10.112
AIM2	-14.456
AIMP1	-21.028
AIMP2	-11.825
AIP	0.346
AIPL1	-10.256
AIRE	-11.271
AJAP1	-9.283
AJM1	-5.970
AJUBA	-0.107
AK1	-8.122
AK2	-16.182
AK3	-17.711
AK4	-20.083
AK5	-14.345
AK6	37.547
AK7	-9.574
AK8	-20.174
AK9	-6.268
AKAIN1	-14.256
AKAP1	-8.053
AKAP10	-8.240
AKAP11	-11.561
AKAP12	-8.630
AKAP13	-15.632
AKAP14	-9.788
AKAP17A	-12.001
AKAP2	-13.356
AKAP3	-12.322
AKAP4	-15.900
AKAP5	-14.039
AKAP6	-0.047
AKAP7	-8.366
AKAP8	-14.143
AKAP8L	-10.353
AKAP9	-9.841
AKIP1	-8.110
AKIRIN1	-12.459
AKIRIN2	3.221
AKNA	-4.470
AKNAD1	-12.154
AKR1A1	-14.149
AKR1B1	-4.836
AKR1B10	-11.715
AKR1B15	-13.471
AKR1C1	-7.345
AKR1C2	-18.109
AKR1C3	-14.788
AKR1C4	-11.451
AKR1D1	-7.475
AKR1E2	-11.758
AKR7A2	-15.330
AKR7A3	-9.846
AKT1	-4.064
AKT1S1	-8.675
AKT2	-9.143
AKT3	-4.431
AKTIP	-9.368
ALAD	11.808
ALAS1	4.162
ALAS2	-10.249
ALB	-15.945
ALCAM	-11.288
ALDH16A1	-10.818
ALDH18A1	-10.929
ALDH1A1	-3.864
ALDH1A2	-9.399
ALDH1A3	-10.338
ALDH1B1	-7.410
ALDH1L1	-0.533
ALDH1L2	-5.365
ALDH2	-12.122
ALDH3A1	-8.876
ALDH3A2	-17.368
ALDH3B1	-8.209
ALDH3B2	-7.220
ALDH4A1	-9.062
ALDH5A1	-10.330
ALDH6A1	-11.551
ALDH7A1	-9.592
ALDH8A1	-6.707
ALDH9A1	-11.398
ALDOA	3.347
ALDOB	-18.900
ALDOC	-6.533
ALG1	17.879
ALG10	-14.806
ALG10B	-13.136
ALG11	8.163
ALG12	-11.761
ALG13	2.194
ALG14	36.249
ALG1L	0.526
ALG1L2	-5.088
ALG2	45.199
ALG3	-10.244
ALG5	-7.563
ALG6	-10.206
ALG8	-7.169
ALG9	-6.368
ALK	-9.075
ALKAL1	-10.158
ALKAL2	-7.858
ALKBH1	-7.665
ALKBH2	-2.396
ALKBH3	-13.142
ALKBH4	-8.231
ALKBH5	1.798
ALKBH6	-8.254
ALKBH7	-5.435
ALKBH8	-6.954
ALLC	-13.327
ALMS1	-10.133
ALOX12	-10.029
ALOX12B	-1.689
ALOX15	-12.289
ALOX15B	-12.535
ALOX5	-11.134
ALOX5AP	-8.213
ALOXE3	-7.738
ALPG	-9.419
ALPI	-6.463
ALPK1	-4.321
ALPK2	-14.130
ALPK3	-6.621
ALPL	-2.517
ALPP	-14.619
ALS2	-17.269
ALS2CL	-3.607
ALX1	-11.512
ALX3	-9.631
ALX4	-6.127
ALYREF	11.408
AMACR	-13.047
AMBN	-8.769
AMBP	-7.317
AMBRA1	-14.122
AMD1	10.056
AMDHD1	-16.441
AMDHD2	-10.077
AMELX	-11.520
AMELY	-18.198
AMER1	-4.406
AMER2	-13.298
AMER3	-4.884
AMFR	-15.764
AMH	-12.627
AMHR2	-9.009
AMIGO1	-17.566
AMIGO2	-13.259
AMIGO3	-12.119
AMMECR1	-8.878
AMMECR1L	-13.311
AMN	-0.714
AMN1	-16.897
AMOT	-19.096
AMOTL1	-0.904
AMOTL2	-11.416
AMPD1	-14.113
AMPD2	-14.138
AMPD3	-16.486
AMPH	-11.946
AMT	-7.126
AMTN	-12.490
AMY1B	-8.126
AMY2A	-8.943
AMY2B	-6.749
AMZ1	-3.833
AMZ2	-0.562
ANAPC1	6.136
ANAPC10	24.070
ANAPC11	14.865
ANAPC13	-5.761
ANAPC15	-4.753
ANAPC16	-10.201
ANAPC2	4.950
ANAPC4	65.450
ANAPC5	12.371
ANAPC7	-11.312
