GENE	BF
ANGPTL3	-11.694
ANGPTL4	-4.542
ANGPTL5	-9.079
ANGPTL6	-5.729
ANGPTL7	-2.078
ANGPTL8	-7.320
ANHX	-7.706
ANK1	-12.165
ANK2	-3.637
ANK3	-8.064
ANKAR	-9.794
ANKDD1A	-4.494
ANKDD1B	-7.159
ANKEF1	-7.850
ANKFN1	-9.730
ANKFY1	-7.371
ANKH	-5.135
ANKHD1	-6.623
ANKIB1	-2.343
ANKK1	-0.952
ANKLE1	-2.149
ANKLE2	2.192
ANKMY1	-8.521
ANKMY2	-4.355
ANKRA2	-10.448
ANKRD1	-4.683
ANKRD10	-9.619
ANKRD11	-6.033
ANKRD12	-12.010
ANKRD13A	-8.544
ANKRD13B	-4.423
ANKRD13C	-9.118
ANKRD13D	-13.316
ANKRD16	-1.837
ANKRD17	-0.085
ANKRD18A	-4.630
ANKRD18B	-9.871
ANKRD2	-7.318
ANKRD20A2	1.485
ANKRD22	-10.971
ANKRD23	-10.288
ANKRD24	-6.395
ANKRD26	-6.985
ANKRD27	-12.930
ANKRD28	-11.244
ANKRD29	-14.375
ANKRD30A	-11.428
ANKRD30B	-10.087
ANKRD31	-3.693
ANKRD33	-7.668
ANKRD33B	-7.397
ANKRD34A	-4.448
ANKRD34B	-7.257
ANKRD34C	-9.266
ANKRD35	-16.288
ANKRD36	-9.811
ANKRD36B	-7.412
ANKRD36C	-3.294
ANKRD37	-5.367
ANKRD39	-1.604
ANKRD40	-4.098
ANKRD42	-2.776
ANKRD44	-13.624
ANKRD45	-7.699
ANKRD46	-12.939
ANKRD49	-7.743
ANKRD50	-3.718
ANKRD52	-4.856
ANKRD53	-11.039
ANKRD54	-6.460
ANKRD55	-4.464
ANKRD6	-7.180
ANKRD60	-6.726
ANKRD61	-11.112
ANKRD62	-9.515
ANKRD63	-6.914
ANKRD65	-7.989
ANKRD66	-8.903
ANKRD7	-8.983
ANKRD9	-8.448
ANKS1A	-6.715
ANKS1B	-7.003
ANKS3	-6.923
ANKS4B	-8.433
